,NAME,INDUSTRY,2021-06-10,2021-06-11,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-05,2021-07-06,2021-07-07,2021-07-08,2021-07-09,2021-07-12,2021-07-13,2021-07-14,2021-07-15,2021-07-16,2021-07-19,2021-07-20,2021-07-21,2021-07-22,2021-07-23,2021-07-26,2021-07-27,2021-07-28,2021-07-29,2021-07-30,2021-08-02,2021-08-03,2021-08-04,2021-08-05,2021-08-06,2021-08-09,2021-08-10,2021-08-11,2021-08-12,2021-08-13,2021-08-16,2021-08-17,2021-08-18,2021-08-19,2021-08-20,2021-08-23,2021-08-24,2021-08-25,2021-08-26,2021-08-27,2021-08-30,2021-08-31,2021-09-01,2021-09-02,2021-09-03,2021-09-06,2021-09-07,2021-09-08,2021-09-09,2021-09-10,2021-09-13,2021-09-14,2021-09-15,2021-09-16,2021-09-17,2021-09-22,2021-09-23,2021-09-24,2021-09-27,2021-09-28,2021-09-29,2021-09-30,2021-10-08,2021-10-11,2021-10-12,2021-10-13,2021-10-14,2021-10-15,2021-10-18,2021-10-19,2021-10-20,2021-10-21,2021-10-22,2021-10-25,2021-10-26,2021-10-27,2021-10-28,2021-10-29,2021-11-01,2021-11-02,2021-11-03,2021-11-04,2021-11-05,2021-11-08
600360.SH,华微电子,半导体,58.14,53.83,68.62,77.16,85.72,85.88,83.57,77.76,83.01,82.22,89.38,88.26,80.42,92.04,91.88,92.3,92.11,85.93,85.93,88.59,85.72,91.55,89.48,76.34,48.06,46.5,44.47,65.91,65.38,73.22,67.5,73.61,85.67,78.04,83.11,75.83,68.15,54.6,72.47,70.79,88.75,85.63,82.69,81.8,89.85,94.4,97.85,95.15,90.15,89.97,85.95,82.17,85.14,69.93,48.18,50.79,69.39,56.46,27.23,20.02,8.21,7.7,12.09,22.12,10.92,5.46,0.86,2.52,5.69,4.41,2.87,4.32,3.22,3.71,7.14,10.08,7.82,20.7,25.48,29.21,24.41,26.9,29.35,35.56,52.94,45.94,68.53,57.58,74.87,80.66,79.54,78.18,66.33,86.4,89.45,89.13,90.55,91.88,89.62,88.45
688566.SH,吉贝尔,化学制药,58.12,62.79,59.43,45.96,56.23,55.95,66.31,65.35,63.81,55.6,65.17,74.94,64.63,65.56,77.2,83.88,70.0,64.4,65.31,62.72,58.45,63.84,59.78,63.28,44.89,35.79,21.89,31.66,35.91,42.07,24.03,18.97,22.24,19.44,8.54,6.6,17.55,24.34,27.09,34.18,40.71,38.96,36.42,27.39,39.01,40.92,55.95,54.55,44.98,36.58,42.23,40.15,37.05,42.44,40.46,43.63,38.52,33.67,36.82,35.98,35.18,34.58,35.81,35.56,39.92,42.21,41.51,49.95,49.77,56.04,59.68,57.7,56.67,58.12,56.74,60.2,64.84,59.64,55.51,54.29,53.64,55.86,60.92,67.85,53.34,50.3,45.54,31.38,43.86,41.23,24.29,22.49,24.06,19.02,20.65,21.42,16.99,19.23,23.31,22.05
603716.SH,塞力医疗,医药商业,58.1,63.44,54.55,56.95,61.46,60.97,59.4,62.79,75.52,74.22,72.94,71.75,70.09,82.71,81.15,71.7,29.19,46.5,42.37,44.91,34.06,22.54,20.91,22.28,16.71,13.67,14.75,16.78,20.86,17.45,22.21,26.5,27.86,15.24,15.68,17.9,21.56,32.15,33.04,30.94,22.59,24.13,28.98,25.06,22.21,21.7,23.82,23.38,20.37,27.83,24.5,23.22,18.39,11.25,14.05,14.89,13.21,6.63,8.26,10.92,15.47,13.21,14.05,15.84,17.31,16.45,18.04,16.45,13.91,14.51,16.59,20.16,19.46,29.89,37.49,40.29,50.72,72.14,83.01,91.9,92.7,94.61,95.43,95.36,95.47,89.97,94.12,94.28,96.38,96.08,96.66,97.04,97.13,96.71,96.15,96.36,95.5,90.32,85.35,73.12
002072.SZ,*ST凯瑞,商贸代理,58.07,61.6,77.58,86.47,80.33,80.03,73.12,74.94,80.07,84.74,86.05,89.97,86.12,86.42,76.83,66.22,44.24,56.0,50.47,52.8,62.93,49.37,36.79,22.05,33.04,36.37,45.26,44.26,44.1,22.75,24.57,10.97,13.63,7.93,21.98,52.08,62.09,61.36,65.59,64.63,65.98,74.29,73.57,71.44,66.57,77.51,82.9,83.04,87.49,92.81,94.61,93.89,94.38,93.23,91.65,84.48,69.62,71.54,74.17,71.28,69.67,83.04,78.0,85.35,75.34,67.01,58.98,71.07,60.76,46.22,35.44,49.67,29.07,40.32,44.96,50.77,60.73,67.62,68.27,72.33,73.87,41.34,56.14,63.65,80.84,79.37,61.08,51.7,61.5,69.32,68.15,73.29,80.38,77.93,69.79,67.03,68.78,48.48,41.04,53.22
603416.SH,信捷电气,电气设备,58.05,48.48,33.11,26.78,20.39,29.91,65.33,63.09,59.89,56.77,55.48,79.05,66.82,70.53,77.18,67.99,58.75,49.74,75.83,80.66,66.87,81.75,80.35,84.02,86.79,86.56,81.59,82.41,80.66,76.76,74.99,70.42,74.64,68.36,69.97,82.34,92.35,96.01,93.23,89.2,89.8,82.9,88.54,84.18,83.48,82.34,44.49,14.61,5.88,5.55,2.17,0.89,0.79,0.91,0.84,0.47,0.16,0.14,0.16,0.19,0.26,0.23,0.12,0.16,0.23,0.12,0.3,0.91,5.79,11.13,19.62,23.92,22.12,28.93,39.55,45.59,58.77,62.04,66.26,61.9,43.86,53.34,56.21,61.01,52.47,38.45,54.83,41.23,35.91,42.84,53.13,39.01,40.53,29.47,41.74,51.03,52.01,65.14,58.47,55.09
603505.SH,金石资源,矿物制品,58.03,64.49,51.33,54.69,44.19,53.08,49.67,52.38,60.06,63.56,65.87,3.34,2.89,2.52,2.36,2.03,3.27,4.9,6.93,5.67,8.7,36.07,62.55,83.5,84.51,86.98,86.21,83.04,81.99,80.31,74.31,96.78,97.01,98.2,96.45,96.99,96.03,98.51,98.58,98.11,97.83,94.7,92.7,76.62,84.53,78.28,75.92,69.6,48.76,53.52,52.15,83.18,91.27,85.72,96.27,97.48,98.06,96.92,94.63,97.53,96.85,97.5,97.6,99.0,98.81,98.32,99.18,99.09,99.65,99.39,99.7,99.02,97.64,96.36,85.04,51.82,13.16,7.23,5.72,1.82,2.26,3.69,2.68,0.61,0.86,6.81,3.08,3.66,3.57,6.49,5.39,29.02,39.45,66.24,91.41,92.95,97.34,94.49,91.83,88.54
603727.SH,博迈科,石油开采,58.0,71.26,73.64,86.28,84.6,76.18,71.28,78.46,79.91,81.52,82.13,70.88,69.67,69.18,53.31,62.16,64.05,68.83,71.02,51.35,66.12,54.18,41.88,13.63,15.07,59.87,71.07,56.11,62.41,59.15,62.2,62.67,64.63,67.76,73.19,70.6,69.25,74.59,76.88,76.88,80.66,83.46,86.58,78.51,79.93,73.12,73.61,71.58,65.7,60.78,64.02,83.83,88.43,82.45,76.18,75.94,76.5,72.05,60.64,66.66,46.55,72.31,80.77,80.42,89.64,87.61,82.92,93.58,96.29,97.99,98.6,96.27,92.86,94.8,96.06,98.25,96.99,97.46,98.76,98.9,97.13,80.4,56.79,63.07,56.14,75.9,81.99,63.67,16.22,6.53,3.2,10.03,11.25,3.15,1.82,0.47,1.12,0.35,0.19,0.21
002098.SZ,浔兴股份,服饰,57.98,58.68,54.48,50.75,56.98,55.37,51.94,52.31,47.27,15.91,22.45,24.66,29.02,31.54,54.69,69.88,57.3,44.94,51.26,36.63,34.13,40.85,48.02,65.94,72.75,71.72,78.6,78.0,75.71,74.9,70.88,76.22,84.11,81.8,75.76,68.41,71.0,68.25,71.98,76.32,74.24,85.14,84.76,73.4,62.74,76.5,66.22,69.16,76.74,86.56,87.24,77.79,70.25,69.27,55.97,54.13,65.8,67.15,51.84,55.95,63.98,60.36,56.25,51.28,58.03,29.82,40.46,33.41,35.67,23.57,19.18,23.99,19.62,22.59,23.08,22.63,29.65,29.51,38.33,32.83,29.35,20.88,22.7,28.11,36.14,53.59,46.13,59.73,59.22,62.09,65.8,77.93,76.18,72.89,63.39,64.7,55.72,54.48,52.66,59.36
002328.SZ,新朋股份,汽车配件,57.96,62.67,60.22,64.47,68.15,68.25,62.69,62.34,63.6,63.72,74.34,74.1,73.99,72.63,62.04,63.63,75.64,72.63,66.24,68.74,71.63,68.76,68.95,67.9,66.38,67.55,74.24,75.83,72.07,73.08,74.76,73.8,79.4,76.53,78.81,80.0,74.9,78.11,75.34,80.03,84.62,87.89,91.81,92.44,92.07,90.32,87.7,85.86,87.98,86.47,87.52,86.16,84.58,85.77,82.29,74.24,68.85,64.33,56.18,48.76,30.31,28.58,21.84,15.96,14.35,11.18,16.45,17.31,19.93,16.96,13.18,17.85,13.67,11.46,10.64,12.9,14.37,14.3,16.33,17.64,18.18,21.0,25.43,40.67,69.97,84.72,85.74,87.31,82.31,85.16,89.62,86.7,85.21,89.83,91.23,90.22,90.74,91.97,90.06,89.64
603721.SH,中广天择,影视音像,57.93,35.46,25.62,12.18,18.57,8.59,4.34,6.84,4.48,2.59,2.52,3.31,1.77,1.52,1.68,3.1,2.54,1.89,1.49,1.66,2.08,1.87,2.4,1.63,1.75,1.31,0.93,0.86,0.86,1.42,1.14,1.19,2.64,2.73,4.62,7.37,7.14,5.06,5.51,4.34,3.52,3.85,6.37,5.23,4.85,3.34,5.67,3.97,7.77,13.0,13.56,31.36,24.71,24.83,28.65,17.5,19.97,27.55,35.07,42.58,60.5,70.16,54.6,60.76,53.24,59.59,56.39,57.96,57.16,48.67,49.39,34.27,37.63,33.27,31.05,42.56,39.85,41.34,45.75,57.75,36.16,30.68,51.8,42.44,50.33,43.82,35.81,47.69,79.44,89.15,88.87,87.24,95.5,95.43,96.78,94.07,95.54,94.91,91.39,87.03
300095.SZ,华伍股份,机械基件,57.91,53.97,63.0,59.31,70.58,65.4,61.46,58.73,61.76,56.81,51.98,52.64,68.85,73.71,85.46,88.71,87.8,83.99,95.82,93.58,92.07,90.32,92.42,92.18,93.86,94.35,90.74,90.71,91.74,91.44,91.41,92.23,90.62,82.55,75.34,72.52,83.48,86.35,58.28,69.02,86.89,84.18,78.21,83.29,63.25,57.91,59.82,58.91,59.19,39.59,54.25,83.01,72.75,85.39,85.63,86.02,77.32,79.68,69.81,70.39,48.83,67.36,76.39,51.54,53.97,47.2,67.87,76.9,78.56,71.86,73.31,54.48,47.48,33.64,22.35,19.83,16.68,11.46,9.8,9.03,4.85,3.99,3.29,7.82,16.59,20.6,20.28,13.35,6.77,14.89,10.64,14.14,28.18,51.87,71.16,86.54,89.55,95.4,98.09,97.76
000402.SZ,金融街,全国地产,57.89,63.72,51.19,60.2,42.42,42.51,49.7,16.85,20.35,19.76,22.14,14.33,9.78,16.94,29.75,35.35,29.0,32.43,43.61,50.63,28.04,17.17,29.89,30.24,30.59,27.55,14.28,9.26,9.19,6.09,9.31,12.55,11.06,12.9,9.43,8.84,8.7,5.97,6.04,6.04,13.11,16.19,10.27,11.08,12.86,15.21,24.69,34.72,39.76,34.58,36.51,32.06,40.92,35.56,41.27,50.98,67.8,79.02,75.57,72.21,90.46,82.55,72.96,61.76,67.94,63.28,63.37,56.21,51.07,63.39,56.07,62.44,61.27,66.5,70.53,68.36,59.4,32.52,45.94,42.39,15.73,25.83,39.06,47.48,40.04,40.57,41.34,59.33,71.77,55.46,59.89,60.27,68.27,64.93,63.93,58.89,53.17,55.53,56.51,56.91
300412.SZ,迦南科技,医疗保健,57.86,38.59,14.21,5.41,5.55,7.47,18.69,14.09,15.19,23.92,18.27,40.18,37.1,49.63,76.22,83.01,73.26,52.52,80.8,75.1,75.9,78.28,79.79,77.69,78.74,74.22,62.04,65.1,65.42,74.01,69.86,50.7,44.07,27.93,23.31,23.17,30.26,60.43,37.28,48.51,45.08,49.32,42.58,51.56,47.64,44.84,68.81,56.67,73.15,55.81,82.08,81.75,79.26,79.61,77.23,70.42,76.08,52.15,30.54,37.0,38.36,44.45,32.59,33.69,42.88,44.31,34.88,47.6,33.32,40.41,37.31,42.23,56.84,50.05,36.96,39.13,21.68,34.46,70.56,44.49,42.37,33.9,35.58,29.07,24.73,23.52,17.9,13.81,11.46,10.41,4.9,5.13,3.85,5.06,11.29,15.19,31.15,15.45,10.83,16.82
002975.SZ,博杰股份,专用机械,57.84,47.85,17.2,18.78,41.11,33.48,47.46,55.67,58.17,71.54,67.36,82.17,76.64,74.45,66.96,83.06,80.31,81.26,75.06,79.42,78.35,82.38,82.03,77.37,25.94,14.44,6.91,6.14,8.49,4.18,3.17,2.43,6.77,3.9,6.25,3.85,3.1,4.27,6.86,3.62,3.15,2.5,3.5,3.64,20.49,32.5,46.83,41.51,18.08,29.75,16.92,48.34,10.22,10.85,33.39,32.69,28.56,19.81,22.42,24.41,23.15,21.49,19.97,21.98,14.96,15.38,12.32,11.9,9.99,5.46,10.69,3.85,10.76,14.12,5.3,4.25,5.81,9.01,5.51,10.38,10.78,9.68,11.76,13.56,10.78,10.22,13.49,10.52,29.0,49.53,68.55,65.38,56.28,45.45,37.42,55.44,82.71,78.98,77.37,70.77
002893.SZ,华通热力,供气供热,57.82,36.61,43.63,7.98,5.39,8.1,12.11,30.84,27.76,22.84,11.53,24.55,4.43,6.23,3.1,3.22,4.92,14.58,9.38,12.04,17.83,6.42,10.55,50.72,30.4,25.15,7.23,4.34,4.74,6.65,6.02,5.76,11.48,8.94,19.37,30.68,32.94,16.01,21.49,20.65,24.29,25.01,14.23,13.14,40.64,33.13,63.7,78.11,62.74,55.55,54.74,63.67,69.81,76.08,76.39,81.87,71.7,46.92,31.33,47.62,41.62,45.8,46.31,67.87,53.57,50.23,34.76,22.61,48.65,49.46,66.73,69.04,54.34,70.77,86.28,74.43,69.46,90.76,95.4,94.56,97.48,94.05,81.15,45.82,53.9,68.11,70.84,64.28,37.49,44.42,26.81,16.15,21.44,7.7,1.68,2.05,3.22,2.5,6.88,3.45
600651.SH,飞乐音响,电器仪表,57.79,55.48,68.04,64.21,69.25,65.84,57.56,46.31,53.03,51.94,55.11,44.54,55.34,54.13,59.19,39.78,38.73,42.65,29.58,10.43,14.86,18.88,19.62,24.52,18.92,21.7,22.77,29.82,26.18,27.18,26.85,57.82,47.25,47.95,43.0,44.89,40.15,30.94,34.97,35.28,33.46,30.59,33.9,24.92,28.04,25.69,31.99,33.97,35.09,42.25,42.6,14.37,15.91,21.7,40.78,37.4,50.23,38.5,39.8,37.59,43.91,43.72,40.08,49.49,51.96,65.47,60.36,65.05,71.61,62.41,64.47,76.9,78.32,77.97,67.1,71.02,61.62,75.71,74.87,76.48,66.59,72.19,69.48,66.61,63.63,48.93,45.71,38.01,28.7,31.54,30.68,23.66,22.12,23.54,26.53,24.03,24.1,21.96,25.59,29.19
002825.SZ,纳尔股份,化工原料,57.77,60.52,55.48,59.54,58.38,56.42,41.86,41.62,44.31,47.53,48.83,45.26,53.8,54.78,59.01,50.37,51.75,51.96,50.91,55.51,51.8,51.4,51.33,57.84,52.82,42.18,57.05,58.68,54.92,51.75,56.74,60.76,61.95,72.8,62.69,53.13,49.25,63.77,67.85,73.17,69.18,80.98,72.77,75.97,85.0,86.19,86.14,83.46,85.25,88.01,90.04,84.65,83.46,84.25,93.37,90.85,87.31,80.91,58.33,42.77,78.6,87.38,89.43,87.98,87.24,88.22,85.53,90.41,92.32,89.73,86.98,84.6,79.09,87.1,51.77,64.72,73.87,62.3,72.47,79.4,37.84,14.16,25.99,22.12,8.52,9.15,9.57,3.55,2.47,1.49,1.35,3.01,6.44,3.99,8.45,7.42,5.23,12.69,19.04,48.9
300196.SZ,长海股份,玻璃,57.75,46.78,18.92,14.96,12.41,8.38,9.38,11.69,10.52,11.48,15.98,25.69,48.9,38.05,42.25,47.97,53.1,64.35,63.86,70.04,71.42,82.94,85.58,83.48,87.47,88.08,89.43,88.26,88.8,88.57,86.49,84.46,75.1,79.19,83.85,84.55,84.81,83.69,81.12,76.43,82.03,75.38,66.66,68.83,56.79,66.19,59.01,58.0,44.52,31.85,61.97,72.42,79.96,79.09,64.61,59.47,57.51,48.72,43.68,46.13,29.35,36.98,82.8,84.34,85.02,69.81,75.83,83.62,77.41,81.68,72.05,53.62,26.48,10.1,8.96,10.62,9.59,6.18,6.14,8.73,9.57,8.17,1.17,0.86,1.42,2.87,5.58,3.71,12.79,8.61,8.82,17.83,47.97,57.35,76.83,70.23,77.34,81.22,77.86,65.26
603013.SH,亚普股份,汽车配件,57.72,54.29,27.3,29.37,30.35,45.75,40.81,42.7,43.0,43.56,35.44,31.24,30.84,37.73,36.72,38.4,42.74,31.1,38.89,40.76,42.25,47.39,66.96,67.36,39.97,38.52,55.76,60.41,52.4,44.54,46.5,52.03,51.87,52.33,49.98,45.71,47.81,40.04,32.52,25.15,36.12,65.49,67.38,84.41,93.75,96.38,95.73,93.72,96.13,96.45,97.95,98.79,97.78,96.27,95.71,97.11,95.66,95.12,95.08,94.73,93.33,84.55,81.54,51.73,31.94,21.7,13.37,20.86,16.75,19.67,14.56,7.68,9.66,17.15,17.97,11.62,17.52,14.23,22.35,16.73,20.09,18.2,23.47,20.86,42.84,22.03,52.03,51.87,52.4,63.09,65.47,36.82,36.02,26.78,36.86,25.45,21.07,33.25,37.66,46.03
002448.SZ,中原内配,汽车配件,57.7,65.33,71.68,67.41,58.12,65.31,64.89,63.25,69.97,65.66,70.3,68.41,71.33,64.37,77.13,78.91,82.13,75.99,76.76,68.53,84.37,82.87,74.08,75.27,82.57,69.16,69.74,75.34,69.62,72.24,53.34,61.74,67.57,71.82,59.29,50.7,42.53,53.15,48.76,65.49,52.36,70.79,71.82,73.61,61.97,71.77,66.66,60.41,65.63,66.64,80.07,77.2,73.17,65.87,71.77,77.23,78.11,79.44,68.22,63.11,66.17,46.34,40.64,35.79,42.0,37.75,34.93,39.1,42.91,53.06,72.07,73.08,79.02,80.61,73.43,73.17,76.46,56.04,84.51,82.36,79.93,83.85,91.02,91.48,91.55,94.82,95.87,96.41,95.89,92.3,88.61,84.39,74.8,70.93,81.08,73.47,67.85,75.45,70.32,72.38
600956.SH,新天绿能,供气供热,57.68,74.85,59.12,17.55,12.11,18.83,7.37,7.21,9.57,5.27,6.56,7.51,4.22,4.88,3.57,5.37,7.26,9.01,5.72,21.96,14.63,18.97,55.83,70.53,60.03,58.26,57.28,45.5,40.27,48.95,33.78,41.67,56.23,59.73,68.36,74.01,74.69,70.09,69.83,65.91,72.91,81.73,61.53,74.5,77.51,74.2,83.64,83.9,80.77,83.15,84.69,88.73,86.23,87.75,85.11,75.83,87.56,74.97,70.46,85.35,89.59,83.22,85.65,83.99,86.89,84.04,61.22,69.18,89.08,92.32,96.08,97.04,96.59,98.67,98.41,99.18,97.95,99.3,99.53,98.65,97.11,85.23,86.42,85.51,89.78,94.17,95.94,96.52,85.58,88.78,88.05,73.43,75.13,18.06,45.99,7.16,17.76,7.09,3.13,12.97
603139.SH,康惠制药,中成药,57.65,56.51,62.44,55.11,43.47,23.96,30.42,37.61,46.27,41.34,45.08,24.1,27.95,45.19,59.89,59.68,54.62,54.55,49.04,44.59,42.86,49.58,49.77,56.39,53.57,60.22,68.04,66.82,63.11,62.86,54.67,47.76,47.95,44.84,34.09,35.35,42.86,44.96,47.76,51.05,51.38,53.92,48.32,38.19,44.59,38.92,30.47,30.49,35.49,52.5,63.91,61.08,57.16,54.06,55.04,60.29,47.41,45.38,45.85,40.43,45.43,46.64,46.55,49.84,50.3,51.28,43.19,59.03,61.13,51.26,51.66,55.27,54.36,55.2,53.36,47.25,58.54,66.96,74.03,77.83,80.31,84.02,83.9,85.16,85.84,88.05,87.8,79.96,73.19,79.37,79.68,82.1,82.43,84.55,83.43,88.03,88.78,82.55,76.83,76.29
688028.SH,沃尔德,专用机械,57.63,49.86,64.93,39.71,32.31,44.19,34.44,28.16,36.75,27.97,28.21,50.77,50.12,32.52,27.97,41.97,57.58,59.36,68.88,78.79,70.58,72.94,65.68,70.25,64.05,63.98,68.29,83.88,81.78,85.16,82.55,81.45,85.42,77.95,83.64,80.05,83.01,81.36,80.56,71.86,76.29,74.76,77.79,59.96,64.07,64.12,56.18,15.47,15.98,13.86,16.75,25.24,17.27,63.23,53.57,69.25,37.73,37.77,29.65,37.8,87.28,91.51,94.87,96.85,92.18,94.0,87.38,93.98,94.91,95.52,95.47,92.63,87.52,65.26,57.54,41.48,42.37,67.55,72.24,76.15,16.99,13.02,31.1,79.61,78.42,75.66,76.85,75.83,77.58,73.24,73.26,77.27,87.8,84.32,90.2,90.25,90.48,90.95,89.83,89.1
002189.SZ,中光学,元器件,57.61,53.36,63.42,65.03,63.16,60.08,65.75,60.13,59.54,57.98,55.34,58.05,39.57,35.49,35.25,50.7,49.93,35.74,43.37,46.01,40.2,54.57,39.85,31.61,22.68,33.43,36.16,31.52,35.98,48.97,48.97,59.15,70.04,63.6,64.28,70.42,69.51,68.39,71.51,73.19,71.23,86.72,94.12,88.36,82.99,80.91,83.67,81.8,84.65,84.51,86.51,82.01,77.41,77.95,75.27,81.64,79.56,75.1,81.1,77.39,75.01,40.78,16.45,43.93,56.0,51.31,43.23,63.65,60.48,41.16,42.51,45.38,36.82,41.25,61.25,34.02,32.17,43.37,25.06,27.51,27.44,31.17,37.84,21.75,29.0,55.69,59.24,49.63,64.21,74.29,77.58,75.9,72.19,85.65,81.33,82.69,83.99,84.09,89.13,85.11
300888.SZ,稳健医疗,医疗保健,57.58,71.23,49.77,41.65,44.12,47.76,61.62,53.99,29.26,9.5,9.96,11.62,14.7,11.55,19.13,12.58,9.01,6.74,9.45,15.19,11.99,6.18,6.88,10.71,7.28,4.64,2.99,4.53,3.64,3.03,1.4,1.07,1.03,2.08,1.52,5.2,4.39,10.06,7.26,4.74,2.5,4.64,3.29,2.26,3.1,4.25,6.79,5.6,7.93,12.74,23.1,40.83,36.44,10.22,10.78,4.36,5.16,2.36,6.32,6.18,12.62,4.5,5.83,8.31,11.41,10.69,11.99,13.09,10.1,16.85,36.12,38.66,33.46,38.8,51.1,47.41,72.12,72.94,67.55,79.68,84.97,82.99,80.61,78.07,72.35,74.66,72.31,69.06,80.4,69.02,49.35,43.61,49.37,46.03,40.5,46.43,49.79,66.31,63.6,47.83
002021.SZ,ST中捷,纺织机械,57.56,84.09,85.67,92.88,92.65,92.44,88.54,88.73,83.39,90.92,93.54,89.73,90.27,86.77,86.3,82.78,88.85,91.81,85.58,85.02,87.75,67.15,69.67,54.36,62.51,62.25,52.47,63.63,66.73,48.13,22.61,26.18,21.77,38.1,45.05,38.75,21.23,10.48,18.83,6.16,9.29,13.0,13.39,12.6,10.17,19.81,45.4,28.23,43.33,33.74,38.19,35.35,40.5,45.8,39.92,67.27,76.15,65.84,67.73,70.81,56.14,59.68,65.68,64.0,64.42,52.26,41.74,49.32,44.91,54.92,53.27,54.97,59.66,54.41,44.82,30.4,26.06,30.52,27.46,37.66,54.85,60.59,48.37,58.1,63.3,63.18,70.63,65.75,65.75,61.5,70.3,60.64,41.65,48.74,54.36,57.3,55.6,56.09,55.41,49.93
002130.SZ,沃尔核材,电气设备,57.54,14.63,22.47,14.28,26.95,16.31,13.09,7.91,7.96,10.1,10.62,19.93,17.66,26.29,15.94,17.78,13.6,15.03,13.21,16.47,20.21,50.96,50.42,59.08,70.23,67.52,68.97,76.92,77.67,76.57,79.16,77.32,78.67,80.77,85.07,86.63,86.07,83.01,81.89,84.93,91.25,91.25,90.43,91.81,95.1,95.89,95.08,92.09,92.93,92.44,90.57,90.99,86.65,84.06,87.12,85.77,87.05,85.81,93.56,91.32,69.81,71.28,71.07,68.69,30.21,21.77,42.04,45.73,70.3,64.3,80.75,86.16,87.68,83.95,47.95,31.36,25.62,29.61,9.75,7.58,9.99,14.05,14.54,8.89,16.57,23.12,21.02,24.97,8.35,19.76,7.51,3.87,5.88,7.56,33.64,50.68,62.04,65.42,67.03,68.85
000783.SZ,长江证券,证券,57.51,30.33,35.18,40.08,41.37,36.37,36.12,25.43,17.55,23.08,24.17,16.31,24.06,33.27,31.75,30.96,22.0,24.94,22.96,31.85,30.07,37.26,40.57,34.02,44.14,48.34,54.36,46.55,44.42,45.87,48.11,50.3,48.55,50.37,54.85,51.66,56.3,54.48,52.29,48.79,49.42,49.6,51.33,48.95,41.62,37.52,41.23,66.68,79.86,73.19,70.28,58.59,61.55,55.6,55.62,63.74,56.49,62.3,76.5,77.13,82.73,82.69,80.54,78.7,77.06,90.53,84.2,67.41,51.26,63.35,65.82,70.3,67.43,72.12,67.94,72.24,78.65,71.89,57.86,54.15,42.16,41.88,41.25,46.94,51.68,19.02,29.47,45.47,49.77,50.0,36.63,38.47,42.58,42.42,43.14,38.68,32.8,32.71,34.46,36.07
002724.SZ,海洋王,半导体,57.49,65.1,74.13,74.64,85.46,82.22,84.3,83.39,88.12,84.46,91.06,95.4,91.93,81.31,88.4,90.13,91.37,94.66,94.91,93.47,94.19,97.41,96.13,97.18,96.15,95.85,92.02,93.4,89.87,88.85,84.46,84.34,86.56,83.5,82.97,85.53,87.66,76.92,83.46,89.31,86.93,73.1,78.28,75.2,78.42,79.7,94.73,92.84,95.45,96.08,96.73,96.29,94.84,96.85,93.79,93.09,89.69,71.75,31.31,21.98,41.23,49.95,47.36,28.67,23.85,26.22,13.91,13.28,16.29,11.2,11.95,7.51,3.48,2.75,6.95,6.53,9.1,28.74,40.78,51.4,44.05,65.03,61.18,79.77,64.21,44.31,48.34,52.78,32.85,47.22,32.48,34.74,68.01,49.37,55.39,46.52,43.05,44.12,67.69,67.87
600555.SH,*ST海创,旅游服务,57.47,72.61,74.85,75.8,76.62,74.8,73.24,68.25,65.14,66.5,51.21,16.71,38.24,22.61,18.6,28.02,37.24,43.7,30.33,27.09,46.22,32.78,36.47,33.01,39.57,34.11,27.2,38.38,27.09,17.69,30.38,43.0,39.83,38.57,36.33,33.81,26.29,26.69,26.99,31.1,31.64,21.65,24.52,45.08,48.34,61.78,79.77,71.23,81.01,86.75,85.09,82.08,72.82,69.58,72.21,77.06,85.09,83.06,87.03,83.36,86.21,85.65,81.99,77.34,58.07,46.57,30.05,36.26,30.94,27.32,29.33,44.42,54.99,57.49,63.3,63.16,53.78,52.57,46.92,30.52,27.2,26.85,30.31,18.85,37.96,39.62,59.59,53.52,52.31,71.07,57.0,44.31,53.69,62.9,62.18,61.81,55.18,57.75,59.78,64.19
300418.SZ,昆仑万维,互联网,57.44,47.29,43.72,36.91,37.47,39.69,41.2,45.22,35.11,13.02,13.77,14.61,10.59,7.98,10.66,40.5,18.6,43.4,24.34,29.3,28.37,42.25,60.99,65.38,65.03,64.63,57.89,59.59,60.13,71.37,56.95,58.31,57.7,74.97,69.69,42.49,61.04,33.25,27.53,14.16,14.07,10.17,5.55,3.92,3.99,3.97,7.05,9.52,11.67,15.14,19.97,12.18,9.78,15.61,19.11,19.55,29.93,41.34,62.27,71.37,66.12,62.53,73.47,94.28,86.33,87.17,91.86,86.54,85.49,82.78,83.32,81.94,86.09,82.03,75.76,76.48,63.39,66.17,50.77,86.63,87.84,89.27,82.03,24.45,58.38,70.02,32.76,42.23,58.61,64.35,63.74,69.18,73.22,83.27,95.94,96.27,96.57,96.06,96.8,93.26
